CD_MUNICIPIO,CD_MUNICIPIO_IBGE,NM_MUNICIPIO
12041,2210623,SEBASTIÃO BARROS
12050,2210300,SÃO JULIÃO
12068,2210631,SEBASTIÃO LEAL
12076,2210409,SÃO MIGUEL DO TAPUIO
12084,2200459,ALVORADA DO GURGUÉIA
12092,2210508,SÃO PEDRO DO PIAUÍ
12106,2201051,ASSUNÇÃO DO PIAUÍ
12114,2210607,SÃO RAIMUNDO NONATO
12122,2201739,BETÂNIA DO PIAUÍ
12130,2210706,SIMÕES
12149,2201945,BOQUEIRÃO DO PIAUÍ
12157,2210805,SIMPLÍCIO MENDES
12165,2202554,CARIDADE DO PIAUÍ
12173,2210904,SOCORRO DO PIAUÍ
12181,2203271,CURRAL NOVO DO PIAUÍ
12190,2211001,TERESINA
12203,2205524,JÚLIO BORGES
12211,2211100,UNIÃO
12220,2205599,LAGOA DO SÍTIO
12238,2211209,URUÇUÍ
12246,2206357,MILTON BRANDÃO
12254,2211308,VALENÇA DO PIAUÍ
12262,2207355,PAJEÚ DO PIAUÍ
12270,2211407,VÁRZEA GRANDE
12289,2207850,PAVUSSU
12297,2203354,DIRCEU ARCOVERDE
12300,2208858,RIACHO FRIO
12319,2200251,ALAGOINHA DO PIAUÍ
12327,2200053,ACAUÃ
12335,2201572,BELÉM DO PIAUÍ
12343,2202075,CAJAZEIRAS DO PIAUÍ
12351,2202117,CAMPO ALEGRE DO FIDALGO
12360,2202711,COCAL DE TELHA
12378,2204154,FRANCISCO MACEDO
12386,2205359,JOÃO COSTA
12394,2205276,JATOBÁ DO PIAUÍ
12408,2205458,JOCA MARQUES
12416,2205516,JUAZEIRO DO PIAUÍ
12424,2205581,LAGOA DO PIAUÍ
12432,2205540,LAGOINHA DO PIAUÍ
12440,2205854,MADEIRO
12459,2206670,MORRO DO CHAPÉU DO PIAUÍ
12467,2206050,MASSAPÊ DO PIAUÍ
12475,2206696,MURICI DOS PORTELAS
12483,2207108,OLHO D'ÁGUA DO PIAUÍ
12491,2207934,PEDRO LAURENTINO
12505,2209658,SÃO FRANCISCO DE ASSIS DO PIAUÍ
12513,2210938,SUSSUAPARA
12521,2210979,TANQUE DO PIAUÍ
12530,2210953,TAMBORIL DO PIAUÍ
12548,2211605,VILA NOVA DO PIAUÍ
12556,2211506,VERA MENDES
12564,2211704,WALL FERRAZ
12572,2202083,CAJUEIRO DA PRAIA
12580,2203255,CURRALINHOS
12599,2208551,PORTO ALEGRE DO PIAUÍ
12602,2208874,RIBEIRA DO PIAUÍ
12610,2209757,SÃO GONÇALO DO GURGUÉIA
12629,2210375,SÃO LUIS DO PIAUÍ
12637,2203859,FLORESTA DO PIAUÍ
12653,2209450,SANTO ANTÔNIO DOS MILAGRES
12661,2210383,SÃO MIGUEL DA BAIXA GRANDE
12670,2202539,CARAÚBAS DO PIAUÍ
12688,2202653,CAXINGÓ
12696,2202729,COCAL DOS ALVES
12700,2210391,SÃO MIGUEL DO FIDALGO
12718,2207793,PAU D'ARCO DO PIAUÍ
12726,2206720,NAZÁRIA
12734,2200954,AROEIRAS DO ITAIM
