CD_MUNICIPIO,2018,2020,2022,2024,FL_MULTIZONA,FL_ZONA_RENUMERADA,QT_LOCAIS
35955,42,42,42,42,False,False,40
35971,"27,28","27,28","27,28","27,28",True,False,61
35998,198,198,198,198,False,False,8
36013,119,119,119,119,False,False,17
36030,147,147,147,147,False,False,12
36056,147,147,147,147,False,False,18
36072,188,188,188,188,False,False,4
36080,68,68,68,68,False,False,19
36099,137,137,137,137,False,False,6
36110,136,136,136,136,False,False,28
36137,172,172,172,172,False,False,34
36153,151,151,151,151,False,False,10
36170,201,201,201,201,False,False,29
36196,185,185,185,185,False,False,7
36218,148,148,148,148,False,False,20
36234,141,141,141,141,False,False,21
36250,27,27,27,27,False,False,9
36277,188,188,188,188,False,False,7
36293,140,140,140,140,False,False,34
36315,81,81,81,81,False,False,22
36331,135,135,135,135,False,False,11
36358,76,76,76,76,False,False,6
36374,138,138,138,138,False,False,13
36382,107,107,107,107,False,False,11
36390,37,37,37,37,False,False,13
36412,149,149,149,149,False,False,45
36439,137,137,137,137,False,False,17
36455,58,58,58,58,False,False,38
36471,32,32,32,32,False,False,21
36498,92,92,92,92,False,False,11
36510,46,46,46,46,False,False,41
36536,76,76,76,76,False,False,29
36552,179,179,179,179,False,False,48
36579,30,30,30,30,False,False,17
36595,49,49,49,49,False,False,15
36617,"22,23","22,23","22,23","22,23",True,False,85
36633,51,51,51,51,False,False,54
36650,109,109,109,109,False,False,9
36676,24,24,24,24,False,False,13
36692,"47,48","47,48","47,48","47,48",True,False,115
36706,172,172,172,172,False,False,11
36714,159,159,159,159,False,False,21
36730,101,101,101,101,False,False,21
36757,23,23,23,23,False,False,7
36765,63,63,63,63,False,False,18
36773,109,109,109,109,False,False,14
36790,153,153,153,153,False,False,8
36811,87,87,87,87,False,False,7
36820,37,37,37,37,False,False,10
36838,160,160,160,160,False,False,10
36854,180,180,180,180,False,False,42
36870,89,89,89,89,False,False,8
36897,117,117,117,117,False,False,8
36919,101,101,101,101,False,False,41
36935,87,87,87,87,False,False,11
36951,91,91,91,91,False,False,15
36978,65,65,65,65,False,False,98
36994,158,158,158,158,False,False,12
37010,91,91,91,91,False,False,8
37036,86,86,86,86,False,False,15
37052,125,125,125,125,False,False,18
37079,90,90,90,90,False,False,13
37095,22,22,22,22,False,False,15
37117,37,37,37,37,False,False,27
37133,118,118,118,118,False,False,40
37150,78,78,78,78,False,False,30
37176,193,193,193,193,False,False,15
37192,133,133,133,133,False,False,11
37214,185,185,185,185,False,False,26
37222,113,113,113,113,False,False,10
37230,153,153,153,153,False,False,28
37257,103,103,103,103,False,False,40
37273,193,193,193,193,False,False,16
37290,167,167,167,167,False,False,24
37303,59,59,59,59,False,False,9
37311,50,50,50,50,False,False,80
37338,173,173,173,173,False,False,17
37354,55,55,55,55,False,False,44
37370,92,92,92,92,False,False,8
37397,119,119,119,119,False,False,20
37419,35,35,35,35,False,False,24
37427,55,55,55,55,False,False,15
37435,54,54,54,54,False,False,21
37451,202,202,202,202,False,False,15
37460,98,98,98,98,False,False,14
37478,131,131,131,131,False,False,16
37494,109,109,109,109,False,False,11
37516,30,30,30,30,False,False,24
37532,32,32,32,32,False,False,12
37559,146,146,146,146,False,False,16
37567,196,196,196,196,False,False,15
37575,36,36,36,36,False,False,5
37583,119,119,119,119,False,False,8
37591,79,79,79,79,False,False,28
37613,35,35,35,35,False,False,25
37621,82,82,82,82,False,False,7
37630,81,81,81,81,False,False,21
37656,94,94,94,94,False,False,47
37672,74,74,74,74,False,False,14
37680,167,167,167,167,False,False,15
